creative_id,campaign_id,advertiser_name,app_name,vertical,format,creative_status,fatigue_day,total_days_active,total_spend_usd,total_impressions,total_clicks,total_conversions,total_revenue_usd,overall_ctr,overall_cvr,overall_ipm,overall_roas,first_7d_ctr,last_7d_ctr,ctr_decay_pct,first_7d_cvr,last_7d_cvr,cvr_decay_pct,peak_rolling_ctr_5,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file,peak_day_impressions,first_7d_impressions,first_7d_clicks,first_7d_conversions,last_7d_impressions,last_7d_clicks,last_7d_conversions,perf_score
500000,20000,PixelForge,PixelForge Legends,gaming,interstitial,stable,,57,71899.93,11656411,45389,8800,48404.62,0.003893908682526723,0.19387957434620723,0.7549493579112817,0.6732220740687788,0.008468874141812908,0.0018183405367354936,-0.785291349678005,0.19809035200228017,0.18028600612870277,-0.0898799244567573,0.010205573113414385,360,640,ja,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0.75,0.733,0.466,0.366,0.823,0,2,0,0,1,0,assets/creative_500000.png,940460,3314254,28068,5560,1076806,1958,353,0.3410493827160494
500001,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,fatigued,12,46,47396.67,6308862,42192,9380,53401.61,0.006687735442620238,0.22231702692453545,1.4867974604611736,1.1266953986429848,0.015090394141355509,0.0018252343640843556,-0.8790466075977256,0.23114927655569933,0.212636695018226,-0.08008929040715562,0.01548111100166959,360,640,en,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,0.515,0.86,0.182,0.815,1.0,2,1,0,0,1,0,assets/creative_500001.png,214688,1126677,17002,3930,901802,1646,350,0.5978395061728395
500002,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,fatigued,11,42,41177.21,5472677,38644,7945,45628.77,0.007061260878359896,0.20559465893799814,1.451757521958632,1.1081073729861737,0.01604398366453796,0.0018671847643145184,-0.883620876002164,0.21070300157977884,0.2147610405323654,0.019259521326989937,0.016580728203230977,360,640,ja,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0.75,0.672,0.388,0.669,0.842,0,1,0,1,0,0,assets/creative_500002.png,167737,946897,15192,3201,885290,1653,355,0.6074074074074074
500003,20000,PixelForge,PixelForge Legends,gaming,interstitial,stable,,54,58977.52,9554290,52375,9906,55980.770000000004,0.005481830675016145,0.1891360381861575,1.0368117358799032,0.9491882669871505,0.01261843061503299,0.0017869159765993446,-0.8583884136533985,0.19258933801991798,0.17577925396014307,-0.08728460377197189,0.013921368731930723,360,640,en,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0.701,0.639,0.475,0.99,0.805,0,1,0,0,1,0,assets/creative_500003.png,369632,2164453,27312,5260,1095183,1957,344,0.4916666666666667
500004,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,stable,,56,60708.18,8095795,47116,9307,52325.7,0.005819811395916028,0.19753374649800493,1.149609148947077,0.8619217377295777,0.013377560991700099,0.0018197373288938218,-0.8639709189124348,0.20064724919093851,0.18742058449809404,-0.06591999016272487,0.014629533063505357,360,640,en,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,0.707,0.472,0.586,0.717,0.892,1,2,0,0,0,0,assets/creative_500004.png,367249,1940264,25956,5208,864960,1574,295,0.5191358024691358
500005,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,stable,,48,44977.12,5997958,36277,7397,42033.36,0.0060482250792686446,0.20390329961132397,1.2332530504548382,0.9345498333374835,0.014250837911988475,0.0017763387449790822,-0.8753519788836597,0.20623531652803354,0.1931216931216931,-0.06358573122735689,0.014666121418333842,360,640,ja,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,0.848,0.553,0.553,0.489,0.879,2,1,0,0,1,0,assets/creative_500005.png,204675,1105128,15749,3248,851189,1512,292,0.5419753086419753
500006,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,underperformer,,61,46536.78,17990207,49913,2274,90338.49,0.00277445390150319,0.045559273135255346,0.12640210309975866,1.941227777254894,0.004195106969060628,0.0018132051517750552,-0.5677809492945851,0.046622080062033534,0.038294168842471714,-0.17862590447446847,0.006333339817623614,320,480,es,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,0.846,0.806,0.294,0.401,0.42,1,3,0,1,0,0,assets/creative_500006.png,1450753,7377881,30951,1443,1267369,2298,88,0.12962962962962962
500007,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,stable,,53,24391.43,6904277,35777,1943,74402.43000000001,0.005181860461276395,0.05430863403862817,0.28141976343069663,3.050351291416699,0.0116901614480279,0.0018266630643468365,-0.8437435554275438,0.0547945205479452,0.06217277486910995,0.1346531413612566,0.01216213442791175,360,640,es,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,0.788,0.706,0.29,0.695,0.684,1,3,1,1,0,0,assets/creative_500007.png,315663,1298870,15184,832,836498,1528,95,0.44197530864197526
500008,20001,VantaStyle,VantaStyle Drops,ecommerce,native,stable,,48,21533.2,7543546,27070,1501,56896.94,0.0035884980352741272,0.05544883635020318,0.19897804030094068,2.642289116341278,0.009077301916855776,0.0018262086066363416,-0.7988159231274188,0.055800883179446,0.045361875637105,-0.1870760272515931,0.009372945489508764,320,320,es,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0.609,0.796,0.278,0.198,0.359,0,2,0,1,0,1,assets/creative_500008.png,246249,1097683,9964,556,1074357,1962,89,0.24969135802469136
500009,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,underperformer,,47,21926.22,8587184,26069,1342,53252.02,0.0030358031224205747,0.051478767885227664,0.15627940428433815,2.428691311133428,0.00754432404639028,0.0018907947793347164,-0.7493751901816303,0.05674474959612278,0.04843191742755062,-0.14649517757569164,0.008327500184883575,320,480,en,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,0.889,0.655,0.539,0.409,0.235,1,3,1,1,0,1,assets/creative_500009.png,234427,1312775,9904,562,1332244,2519,122,0.19259259259259262
